,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
0,238,650,1,1,1,3,3,1723
1,420,258,1,1,1,5,5,1832
2,120,132,0.75,1,0.857142857,9,12,1718
3,95,73,0,0,0,0,0,1819
4,252,509,1,1,1,2,2,1704
5,461,623,0.8,1,0.888888889,4,5,1703
6,529,372,1,1,1,4,4,1741
7,29,456,0.777777778,1,0.875,7,9,1694
8,501,263,0.9,1,0.947368421,9,10,1722
9,442,112,0.8,1,0.888888889,4,5,1821
10,613,456,0.9,1,0.947368421,9,10,1738
11,224,439,1,1,1,7,7,1819
12,201,638,1,1,1,7,7,1722
13,386,13,0.857142857,1,0.923076923,6,7,1748
14,66,91,1,1,1,4,4,1651
15,370,45,1,1,1,3,3,1718
16,426,89,1,1,1,5,5,1722
17,136,52,1,1,1,2,2,1720
18,523,340,0.833333333,1,0.909090909,5,6,1743
19,228,602,1,1,1,6,6,1799
20,272,449,1,1,1,8,8,1728
21,454,581,1,1,1,2,2,1578
22,606,30,1,1,1,5,5,1743
23,502,506,1,1,1,6,6,1656
24,441,146,1,1,1,6,6,1714
25,534,304,1,1,1,7,7,1718
26,632,405,1,1,1,12,12,1785
27,115,4,1,1,1,6,6,1755
28,585,353,1,1,1,8,8,1693
29,596,349,1,1,1,3,3,1676
30,413,385,1,1,1,6,6,1714
31,288,548,1,1,1,7,7,1731
32,369,364,1,1,1,5,5,1653
33,553,111,0.909090909,1,0.952380952,10,11,1656
34,534,532,0,0,0,0,0,1755
35,169,578,1,1,1,4,4,1712
36,434,531,0.9,1,0.947368421,9,10,1729
37,102,76,0.8,1,0.888888889,8,10,1649
38,331,313,1,1,1,6,6,1754
39,462,521,1,1,1,7,7,1716
40,584,602,1,1,1,4,4,1712
41,422,78,1,1,1,5,5,1715
42,299,407,0.888888889,1,0.941176471,8,9,1706
43,191,253,0.888888889,1,0.941176471,8,9,1692
44,306,428,1,1,1,4,4,1646
45,566,274,1,1,1,9,9,1729
46,622,503,1,1,1,8,8,1702
47,258,305,0.857142857,1,0.923076923,6,7,1732
48,409,422,1,1,1,7,7,1687
49,326,591,0.75,1,0.857142857,3,4,1732
50,617,248,1,1,1,2,2,1660
51,407,143,0.8,1,0.888888889,4,5,1733
52,519,217,1,1,1,5,5,1784
53,91,618,1,1,1,8,8,1670
54,78,105,1,1,1,4,4,1709
55,289,481,1,1,1,6,6,1787
56,488,206,1,1,1,8,8,1665
57,418,77,1,1,1,4,4,1718
58,476,612,1,1,1,7,7,1770
59,267,102,0.888888889,1,0.941176471,8,9,1769
60,622,465,1,1,1,7,7,1688
61,507,597,1,1,1,12,12,1726
62,79,412,1,1,1,9,9,1734
63,330,158,1,1,1,5,5,1697
64,571,55,1,1,1,6,6,1621
65,533,185,1,1,1,4,4,1740
66,302,569,1,1,1,6,6,1678
67,236,225,0.857142857,1,0.923076923,6,7,1568
68,629,29,1,1,1,7,7,1706
69,357,231,0.875,1,0.933333333,7,8,1663
70,301,300,1,1,1,3,3,1725
71,488,25,1,1,1,3,3,1681
72,42,161,1,1,1,8,8,1761
73,233,315,1,1,1,7,7,1709
74,228,256,1,1,1,6,6,1670
75,61,289,1,1,1,3,3,1758
76,257,344,1,1,1,6,6,1700
77,377,392,1,1,1,6,6,1733
78,609,618,1,1,1,7,7,1641
79,351,129,1,1,1,4,4,1748
80,612,34,1,1,1,9,9,1733
81,364,287,0.833333333,1,0.909090909,5,6,1706
82,389,524,1,1,1,4,4,1653
83,70,134,1,1,1,9,9,1739
84,463,320,1,1,1,6,6,1710
85,629,444,1,1,1,7,7,1781
86,51,48,1,1,1,7,7,1807
87,62,119,0.8,1,0.888888889,4,5,1774
88,390,55,1,1,1,5,5,1647
89,283,632,1,1,1,6,6,1742
90,342,569,1,1,1,5,5,1723
91,170,201,0.75,1,0.857142857,3,4,1684
92,138,381,0.875,1,0.933333333,7,8,1671
93,288,127,1,1,1,7,7,1762
94,143,488,1,1,1,8,8,1652
95,240,632,1,1,1,8,8,1691
96,620,317,1,1,1,8,8,1723
97,315,415,1,1,1,5,5,1639
98,465,185,1,1,1,4,4,1679
99,79,276,1,1,1,4,4,1712
100,147,618,0.833333333,1,0.909090909,5,6,1639
101,173,637,1,1,1,2,2,1768
102,74,188,1,1,1,8,8,1627
103,152,641,1,1,1,5,5,1696
104,262,45,1,1,1,5,5,1690
105,619,52,1,1,1,8,8,1712
106,96,534,0.857142857,1,0.923076923,6,7,1698
107,503,583,1,1,1,3,3,1730
108,600,111,1,1,1,9,9,1715
109,505,360,0.875,1,0.933333333,7,8,1731
110,138,599,1,1,1,6,6,1661
111,443,499,1,1,1,5,5,1633
112,567,421,1,1,1,5,5,1737
113,523,231,1,1,1,4,4,1743
114,155,52,0.8,1,0.888888889,4,5,1713
115,557,120,1,1,1,9,9,1820
116,614,317,1,1,1,5,5,1657
117,462,100,1,1,1,2,2,1745
118,598,568,1,1,1,9,9,1803
119,625,249,1,1,1,3,3,1796
120,440,378,1,1,1,6,6,1679
121,247,415,1,1,1,9,9,1643
122,443,650,1,1,1,6,6,1687
123,163,176,1,1,1,10,10,1808
124,119,174,1,1,1,6,6,1755
125,578,74,1,1,1,2,2,1688
126,3,447,1,1,1,11,11,1579
127,53,637,0.888888889,1,0.941176471,8,9,1699
128,145,475,1,1,1,3,3,1688
129,494,548,1,1,1,7,7,1719
130,412,451,0.8,1,0.888888889,4,5,1738
131,288,306,1,1,1,7,7,1734
132,535,380,1,1,1,4,4,1646
133,92,201,1,1,1,4,4,1719
134,170,190,1,1,1,4,4,1638
135,277,127,0.9,1,0.947368421,9,10,1723
136,301,347,1,1,1,7,7,1791
137,302,135,1,1,1,3,3,1750
138,173,646,1,1,1,3,3,1733
139,458,258,1,1,1,5,5,1737
140,293,176,1,1,1,6,6,1816
141,451,110,1,1,1,8,8,1764
142,180,335,1,1,1,9,9,1729
143,117,209,1,1,1,4,4,1683
144,594,459,0,0,0,0,0,1653
145,281,337,0.916666667,1,0.956521739,11,12,1743
146,372,335,1,1,1,5,5,1753
147,422,239,1,1,1,8,8,1706
148,472,168,1,1,1,5,5,1745
149,497,635,1,1,1,5,5,1727
150,65,201,1,1,1,2,2,1659
151,592,255,0.666666667,1,0.8,2,3,1724
152,19,434,0.888888889,1,0.941176471,8,9,1707
153,371,389,1,1,1,4,4,1699
154,617,395,1,1,1,9,9,1602
155,201,370,0.857142857,1,0.923076923,6,7,1618
156,369,50,1,1,1,5,5,1745
157,428,197,1,1,1,4,4,1671
158,529,47,1,1,1,8,8,1772
159,490,625,1,1,1,7,7,1807
160,480,319,1,1,1,3,3,1704
161,6,547,1,1,1,4,4,1722
162,479,609,0.833333333,1,0.909090909,5,6,1765
163,316,417,0.888888889,1,0.941176471,8,9,1718
164,148,11,0.857142857,1,0.923076923,6,7,1746
165,302,629,1,1,1,9,9,1639
166,67,144,1,1,1,10,10,1731
167,589,212,1,1,1,12,12,1708
168,427,106,1,1,1,8,8,1706
169,9,383,0.666666667,1,0.8,2,3,1695
170,186,231,1,1,1,4,4,1709
171,540,422,1,1,1,6,6,1764
172,408,107,0.8,1,0.888888889,4,5,1765
173,118,263,1,1,1,9,9,1717
174,493,459,1,1,1,5,5,1689
175,439,440,1,1,1,4,4,1761
176,514,586,1,1,1,6,6,1740
177,207,641,1,1,1,7,7,1720
