,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
0,364,524,1,1,1,9,9,1689
1,575,414,1,1,1,6,6,1772
2,394,620,0.833333333,1,0.909090909,5,6,1759
3,468,485,1,1,1,3,3,1753
4,188,16,1,1,1,5,5,1682
5,326,520,1,1,1,6,6,1706
6,49,232,1,1,1,11,11,1809
7,274,322,1,1,1,4,4,1729
8,508,15,1,1,1,5,5,1681
9,477,572,0.666666667,1,0.8,2,3,1643
10,416,141,0.6,1,0.75,3,5,1650
11,287,454,1,1,1,6,6,1769
12,65,110,1,1,1,6,6,1720
13,367,340,1,1,1,5,5,1721
14,217,436,1,1,1,6,6,1717
15,349,21,1,1,1,6,6,1653
16,602,348,1,1,1,7,7,1672
17,258,25,1,1,1,6,6,1708
18,363,92,1,1,1,7,7,1708
19,273,129,0.857142857,1,0.923076923,6,7,1783
20,96,304,1,1,1,6,6,1776
21,258,423,1,1,1,4,4,1770
22,407,294,0.857142857,1,0.923076923,6,7,1672
23,132,331,1,1,1,7,7,1764
24,31,622,0.666666667,1,0.8,2,3,1725
25,298,98,1,1,1,6,6,1725
26,558,275,0.833333333,1,0.909090909,5,6,1735
27,90,35,0.857142857,1,0.923076923,6,7,1671
28,382,357,0.8,1,0.888888889,4,5,1624
29,596,65,0.888888889,1,0.941176471,8,9,1690
30,108,414,1,1,1,6,6,1734
31,482,185,1,1,1,6,6,1733
32,483,325,1,1,1,5,5,1704
33,225,77,1,1,1,4,4,1687
34,124,380,1,1,1,5,5,1755
35,536,246,1,1,1,5,5,1694
36,626,60,0.857142857,1,0.923076923,6,7,1712
37,418,208,1,1,1,8,8,1721
38,525,206,0.888888889,1,0.941176471,8,9,1709
39,651,649,0,0,0,0,0,1696
40,598,168,1,1,1,6,6,1719
41,36,459,0.875,1,0.933333333,7,8,1719
42,422,401,1,1,1,3,3,1650
43,91,371,1,1,1,5,5,1749
44,267,549,1,1,1,6,6,1716
45,603,116,1,1,1,6,6,1764
46,18,336,1,1,1,7,7,1741
47,72,75,1,1,1,3,3,1703
48,249,570,1,1,1,5,5,1628
49,618,378,0.75,1,0.857142857,3,4,1777
50,540,582,0.875,1,0.933333333,7,8,1689
51,637,229,0.777777778,1,0.875,7,9,1721
52,455,259,1,1,1,5,5,1767
53,66,222,1,1,1,5,5,1721
54,322,32,0.833333333,1,0.909090909,5,6,1766
55,3,568,1,1,1,4,4,1640
56,235,45,1,1,1,2,2,1672
57,66,162,0.7,1,0.823529412,7,10,1683
58,99,621,0.857142857,1,0.923076923,6,7,1796
59,90,70,0.857142857,1,0.923076923,6,7,1754
60,635,624,1,1,1,4,4,1706
61,264,238,1,1,1,7,7,1721
62,73,455,1,1,1,3,3,1745
63,228,214,1,1,1,9,9,1779
64,129,34,1,1,1,12,12,1743
65,633,589,0.833333333,1,0.909090909,5,6,1693
66,5,128,1,1,1,2,2,1686
67,251,361,0.857142857,1,0.923076923,6,7,1765
68,169,428,0,0,0,0,0,1774
69,251,409,0.875,1,0.933333333,7,8,1709
70,170,46,1,1,1,2,2,1759
71,164,271,0.75,1,0.857142857,3,4,1757
72,22,632,1,1,1,8,8,1693
73,440,323,1,1,1,2,2,1588
74,226,461,0.8,1,0.888888889,4,5,1753
75,251,85,1,1,1,3,3,1727
76,417,582,1,1,1,2,2,1698
77,141,467,0.75,1,0.857142857,3,4,1757
78,357,397,1,1,1,6,6,1692
79,212,398,1,1,1,6,6,1740
80,194,642,1,1,1,12,12,1771
81,166,632,1,1,1,4,4,1695
82,19,30,1,1,1,4,4,1691
83,393,389,0,0,0,0,0,1754
84,486,81,1,1,1,5,5,1682
85,172,478,1,1,1,4,4,1747
86,202,350,1,1,1,10,10,1770
87,586,473,1,1,1,6,6,1681
88,19,24,1,1,1,7,7,1717
89,13,147,1,1,1,6,6,1734
90,289,360,0.8,1,0.888888889,4,5,1668
91,475,400,1,1,1,6,6,1692
92,188,72,1,1,1,4,4,1752
93,45,572,1,1,1,8,8,1649
94,448,352,1,1,1,8,8,1745
95,192,506,1,1,1,4,4,1708
96,614,591,1,1,1,4,4,1719
97,437,384,1,1,1,6,6,1686
98,513,354,1,1,1,6,6,1766
99,45,544,1,1,1,8,8,1703
100,267,530,0.857142857,1,0.923076923,6,7,1716
101,89,131,0,0,0,0,0,1624
102,40,313,0.9,1,0.947368421,9,10,1743
103,311,607,0.857142857,1,0.923076923,6,7,1681
104,499,602,1,1,1,7,7,1734
105,601,127,1,1,1,8,8,1714
106,81,461,0.818181818,1,0.9,9,11,1619
107,23,65,1,1,1,6,6,1706
108,639,449,1,1,1,3,3,1736
109,554,609,1,1,1,6,6,1655
110,251,397,0.75,1,0.857142857,3,4,1666
111,520,495,1,1,1,11,11,1733
112,229,646,0.833333333,1,0.909090909,5,6,1767
113,538,488,1,1,1,5,5,1753
114,158,570,1,1,1,4,4,1673
115,446,537,1,1,1,6,6,1697
116,489,441,0.888888889,1,0.941176471,8,9,1692
117,68,480,1,1,1,4,4,1755
118,404,546,1,1,1,7,7,1733
119,608,263,0.75,1,0.857142857,3,4,1741
120,515,171,1,1,1,2,2,1758
121,645,320,1,1,1,5,5,1710
122,630,537,1,1,1,10,10,1696
123,297,247,1,1,1,4,4,1614
124,420,208,1,1,1,5,5,1671
125,215,195,1,1,1,2,2,1672
126,328,335,1,1,1,4,4,1759
127,370,505,1,1,1,3,3,1735
128,119,511,1,1,1,3,3,1680
129,495,76,1,1,1,8,8,1748
130,128,122,1,1,1,4,4,1702
131,622,497,1,1,1,8,8,1750
132,493,461,1,1,1,5,5,1667
133,612,474,1,1,1,9,9,1741
134,51,174,1,1,1,5,5,1701
135,646,501,1,1,1,7,7,1770
136,345,315,0.875,1,0.933333333,7,8,1714
137,336,312,1,1,1,7,7,1702
138,269,247,1,1,1,6,6,1599
139,269,581,0.9,1,0.947368421,9,10,1554
140,646,302,1,1,1,8,8,1690
141,52,608,1,1,1,5,5,1673
142,206,367,0.888888889,1,0.941176471,8,9,1641
143,600,42,0.6,1,0.75,3,5,1718
144,479,481,1,1,1,9,9,1733
145,510,210,1,1,1,2,2,1718
146,17,331,1,1,1,2,2,1673
147,256,138,1,1,1,4,4,1708
148,345,138,1,1,1,11,11,1775
149,99,38,1,1,1,3,3,1737
150,273,120,1,1,1,5,5,1739
151,592,10,0.875,1,0.933333333,7,8,1698
152,191,279,0.888888889,1,0.941176471,8,9,1678
153,418,492,0.833333333,1,0.909090909,5,6,1778
154,78,378,1,1,1,4,4,1782
155,227,479,0.75,1,0.857142857,3,4,1730
156,586,498,1,1,1,7,7,1709
157,621,429,0.888888889,1,0.941176471,8,9,1748
158,402,541,1,1,1,9,9,1799
159,230,211,1,1,1,7,7,1720
160,396,216,1,1,1,4,4,1753
161,322,131,1,1,1,8,8,1693
162,466,237,1,1,1,5,5,1645
163,19,191,1,1,1,4,4,1742
164,201,260,0.8,1,0.888888889,4,5,1729
165,101,82,1,1,1,4,4,1620
166,194,293,1,1,1,8,8,1717
167,507,132,0.857142857,1,0.923076923,6,7,1653
168,477,325,1,1,1,5,5,1834
169,249,507,1,1,1,5,5,1626
170,177,214,1,1,1,12,12,1816
171,481,450,1,1,1,3,3,1679
172,585,475,0.916666667,1,0.956521739,11,12,1705
173,452,606,1,1,1,7,7,1695
174,136,483,0.857142857,1,0.923076923,6,7,1763
175,537,381,1,1,1,4,4,1726
176,234,536,1,1,1,2,2,1592
177,512,111,1,1,1,5,5,1705
178,98,62,1,1,1,7,7,1716
179,136,525,1,1,1,2,2,1704
180,418,543,1,1,1,3,3,1772
181,518,72,0.75,1,0.857142857,3,4,1729
182,258,559,1,1,1,5,5,1765
183,182,138,1,1,1,7,7,1734
184,287,439,1,1,1,5,5,1830
185,412,263,1,1,1,8,8,1766
186,24,124,1,1,1,13,13,1777
187,490,332,0.857142857,1,0.923076923,6,7,1766
188,385,227,1,1,1,4,4,1777
189,472,6,1,1,1,3,3,1775
190,455,25,1,1,1,6,6,1713
191,6,604,1,1,1,6,6,1644
192,355,41,1,1,1,3,3,1722
193,444,292,1,1,1,7,7,1696
194,352,610,1,1,1,8,8,1732
195,206,201,1,1,1,8,8,1730
196,261,539,1,1,1,7,7,1747
197,268,415,1,1,1,5,5,1810
198,561,303,0.666666667,1,0.8,4,6,1684
199,514,460,1,1,1,8,8,1676
200,356,201,1,1,1,3,3,1677
201,402,175,1,1,1,3,3,1745
202,96,519,1,1,1,6,6,1762
203,432,512,1,1,1,12,12,1763
204,13,32,1,1,1,4,4,1733
205,50,35,1,1,1,7,7,1741
206,25,229,1,1,1,5,5,1710
207,131,193,1,1,1,6,6,1637
208,180,347,1,1,1,7,7,1656
209,212,372,0.9,1,0.947368421,9,10,1728
210,566,570,1,1,1,7,7,1615
211,359,613,1,1,1,4,4,1663
212,167,6,1,1,1,5,5,1755
213,356,202,1,1,1,5,5,1771
214,146,172,1,1,1,5,5,1730
215,348,312,0.8,1,0.888888889,4,5,1708
216,475,99,1,1,1,10,10,1763
217,77,581,0.8,1,0.888888889,8,10,1679
218,509,161,1,1,1,6,6,1739
219,231,465,1,1,1,3,3,1717
220,225,584,0.8,1,0.888888889,4,5,1726
221,453,303,1,1,1,5,5,1653
222,235,18,0,0,0,0,0,1618
223,15,167,1,1,1,5,5,1645
224,170,651,0,0,0,0,0,1688
225,418,479,1,1,1,8,8,1694
226,140,19,1,1,1,8,8,1743
227,479,608,1,1,1,6,6,1647
228,7,557,1,1,1,5,5,1747
229,153,41,0.888888889,1,0.941176471,8,9,1738
230,139,464,0.75,1,0.857142857,3,4,1660
231,615,333,1,1,1,5,5,1710
232,159,272,0.875,1,0.933333333,7,8,1813
233,644,203,1,1,1,2,2,1740
234,497,322,1,1,1,8,8,1707
235,301,10,1,1,1,11,11,1717
236,211,36,1,1,1,8,8,1696
237,544,343,1,1,1,5,5,1688
238,201,291,1,1,1,3,3,1805
239,194,209,1,1,1,3,3,1782
240,357,479,0,0,0,0,0,1765
241,451,542,1,1,1,7,7,1712
242,134,274,1,1,1,7,7,1763
243,297,21,1,1,1,7,7,1678
244,242,370,1,1,1,8,8,1695
245,232,622,1,1,1,2,2,1738
246,419,538,1,1,1,7,7,1660
247,449,113,1,1,1,8,8,1730
248,556,468,1,1,1,8,8,1761
249,226,489,1,1,1,8,8,1789
250,454,389,1,1,1,9,9,1727
251,477,35,1,1,1,8,8,1741
252,134,221,0.833333333,1,0.909090909,5,6,1755
253,517,75,0.875,1,0.933333333,7,8,1738
254,290,519,1,1,1,6,6,1717
255,358,400,0.875,1,0.933333333,7,8,1764
