,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
0,598,508,85,0.6,1,0.75,9,15,1616
1,17,264,323,0.875,1,0.933333333,14,16,1557
2,110,16,43,0.833333333,1,0.909090909,10,12,1623
3,418,264,300,0.857142857,1,0.923076923,12,14,1589
4,330,214,321,0.8125,1,0.896551724,13,16,1610
5,404,476,524,0.857142857,1,0.923076923,12,14,1563
6,278,561,347,0.875,1,0.933333333,14,16,1660
7,163,292,166,0.777777778,1,0.875,14,18,1644
8,231,567,61,0.764705882,1,0.866666667,13,17,1696
9,555,203,596,0.909090909,1,0.952380952,20,22,1671
10,83,431,39,0.8,1,0.888888889,12,15,1533
11,459,275,37,0.833333333,1,0.909090909,10,12,1658
12,590,433,585,0.904761905,1,0.95,19,21,1566
13,566,451,473,0.916666667,1,0.956521739,22,24,1635
14,50,240,26,0.894736842,1,0.944444444,17,19,1660
15,354,578,627,0.875,1,0.933333333,14,16,1681
16,643,650,490,0.733333333,1,0.846153846,11,15,1548
17,237,211,453,0.842105263,1,0.914285714,16,19,1612
18,42,365,75,0.882352941,1,0.9375,15,17,1627
19,318,473,98,0.846153846,1,0.916666667,11,13,1603
20,83,3,429,0.882352941,1,0.9375,15,17,1612
21,576,63,546,0.833333333,1,0.909090909,20,24,1622
22,197,508,176,0.894736842,1,0.944444444,17,19,1652
23,591,158,188,0.92,1,0.958333333,23,25,1658
24,8,28,620,0.785714286,1,0.88,11,14,1619
25,196,403,354,0.866666667,1,0.928571429,13,15,1631
26,545,519,218,0.75,1,0.857142857,6,8,1647
27,484,458,650,0.85,1,0.918918919,17,20,1611
28,570,196,123,0.85,1,0.918918919,17,20,1621
29,444,198,521,0.888888889,1,0.941176471,16,18,1631
30,71,568,16,0.714285714,1,0.833333333,10,14,1571
31,50,440,2,0.904761905,1,0.95,19,21,1657
32,574,466,489,0.857142857,1,0.923076923,18,21,1651
33,599,583,145,0.9,1,0.947368421,18,20,1603
34,269,257,322,0.909090909,1,0.952380952,20,22,1646
