,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
0,480,170,200,30,0.703703704,1,0.826086957,19,27,1510
1,556,529,347,188,0.75,1,0.857142857,21,28,1466
2,175,276,219,129,0.678571429,1,0.808510638,19,28,1533
3,338,317,48,407,0.714285714,1,0.833333333,20,28,1503
4,529,439,119,31,0.71875,1,0.836363636,23,32,1503
5,412,532,59,196,0.653846154,1,0.790697674,17,26,1537
6,300,498,83,392,0.724137931,1,0.84,21,29,1502
7,450,329,13,348,0.65,1,0.787878788,13,20,1551
8,423,230,70,59,0.727272727,1,0.842105263,24,33,1568
9,451,411,507,364,0.696969697,1,0.821428571,23,33,1538
10,434,484,235,12,0.64,1,0.780487805,16,25,1539
11,523,361,80,538,0.742857143,1,0.852459016,26,35,1576
12,615,546,521,281,0.714285714,1,0.833333333,20,28,1496
13,569,449,69,67,0.787878788,1,0.881355932,26,33,1480
14,81,457,166,542,0.714285714,1,0.833333333,20,28,1540
15,260,547,8,284,0.666666667,1,0.8,16,24,1508
16,569,302,147,12,0.774193548,1,0.872727273,24,31,1513
17,423,28,469,585,0.766666667,1,0.867924528,23,30,1523
18,32,163,588,402,0.68,1,0.80952381,17,25,1532
19,328,128,165,572,0.611111111,1,0.75862069,11,18,1583
20,486,592,244,475,0.708333333,1,0.829268293,17,24,1545
21,160,243,85,631,0.740740741,1,0.85106383,20,27,1514
22,226,482,513,569,0.6,1,0.75,15,25,1553
23,517,27,95,551,0.71875,1,0.836363636,23,32,1537
24,109,487,396,314,0.689655172,1,0.816326531,20,29,1500
25,471,30,410,178,0.735294118,1,0.847457627,25,34,1550
26,476,441,66,292,0.703703704,1,0.826086957,19,27,1562
27,225,420,182,334,0.625,1,0.769230769,15,24,1524
28,469,387,603,409,0.608695652,1,0.756756757,14,23,1513
29,554,216,26,36,0.847826087,1,0.917647059,39,46,1610
30,263,647,192,504,0.794117647,1,0.885245902,27,34,1479
31,23,520,595,612,0.68,1,0.80952381,17,25,1520
32,142,622,98,369,0.666666667,1,0.8,18,27,1547
33,323,125,358,591,0.763157895,1,0.865671642,29,38,1535
34,241,314,536,379,0.708333333,1,0.829268293,17,24,1503
35,439,589,373,268,0.75,1,0.857142857,24,32,1509
36,395,74,442,613,0.708333333,1,0.829268293,17,24,1556
37,297,424,194,145,0.769230769,1,0.869565217,30,39,1522
38,589,415,551,171,0.714285714,1,0.833333333,20,28,1494
39,195,159,144,633,0.75,1,0.857142857,21,28,1536
40,516,65,421,336,0.756756757,1,0.861538462,28,37,1562
41,257,70,587,181,0.72972973,1,0.84375,27,37,1557
42,516,245,144,415,0.756756757,1,0.861538462,28,37,1436
43,36,424,192,96,0.742857143,1,0.852459016,26,35,1625
44,587,286,440,17,0.724137931,1,0.84,21,29,1531
45,642,149,8,91,0.735294118,1,0.847457627,25,34,1495
46,390,91,273,271,0.689655172,1,0.816326531,20,29,1498
47,420,227,588,594,0.666666667,1,0.8,16,24,1523
48,554,30,336,258,0.756756757,1,0.861538462,28,37,1507
49,408,555,209,325,0.685714286,1,0.813559322,24,35,1528
50,174,436,154,230,0.75,1,0.857142857,27,36,1536
51,382,578,221,395,0.708333333,1,0.829268293,17,24,1532
52,242,163,501,167,0.677419355,1,0.807692308,21,31,1491
53,267,39,649,583,0.625,1,0.769230769,15,24,1546
54,134,90,29,645,0.766666667,1,0.867924528,23,30,1476
55,35,533,293,132,0.7,1,0.823529412,21,30,1554
56,264,109,69,106,0.68,1,0.80952381,17,25,1549
57,630,370,508,63,0.64516129,1,0.784313725,20,31,1526
58,427,530,216,380,0.771428571,1,0.870967742,27,35,1563
59,651,516,612,136,0.666666667,1,0.8,14,21,1489
60,347,154,194,69,0.75862069,1,0.862745098,22,29,1547
61,502,460,191,484,0.724137931,1,0.84,21,29,1469
62,373,515,36,35,0.692307692,1,0.818181818,18,26,1605
63,127,570,274,558,0.692307692,1,0.818181818,18,26,1529
64,127,253,190,269,0.810810811,1,0.895522388,30,37,1572
65,606,571,331,477,0.763157895,1,0.865671642,29,38,1588
66,173,240,528,629,0.590909091,1,0.742857143,13,22,1515
67,463,274,84,319,0.774193548,1,0.872727273,24,31,1443
68,291,611,180,366,0.6,1,0.75,15,25,1551
69,152,5,141,462,0.774193548,1,0.872727273,24,31,1593
70,487,264,449,311,0.764705882,1,0.866666667,26,34,1524
71,486,124,32,524,0.761904762,1,0.864864865,32,42,1579
72,557,196,194,291,0.692307692,1,0.818181818,18,26,1506
73,115,407,449,505,0.722222222,1,0.838709677,26,36,1518
74,242,376,201,22,0.526315789,1,0.689655172,10,19,1503
75,78,295,153,448,0.684210526,1,0.8125,26,38,1516
76,649,69,423,1,0.775,1,0.873239437,31,40,1601
77,529,604,5,379,0.75,1,0.857142857,21,28,1547
78,601,10,105,141,0.8,1,0.888888889,28,35,1479
79,275,80,398,240,0.692307692,1,0.818181818,18,26,1539
80,42,34,86,101,0.780487805,1,0.876712329,32,41,1491
81,469,308,650,35,0.65,1,0.787878788,13,20,1535
82,144,490,55,455,0.774193548,1,0.872727273,24,31,1523
83,193,284,399,166,0.590909091,1,0.742857143,13,22,1519
84,99,649,309,77,0.7,1,0.823529412,21,30,1612
85,547,592,588,457,0.65,1,0.787878788,13,20,1513
86,262,276,318,123,0.7,1,0.823529412,21,30,1464
87,122,347,30,1,0.65625,1,0.79245283,21,32,1465
88,609,82,528,433,0.724137931,1,0.84,21,29,1603
89,488,220,90,227,0.619047619,1,0.764705882,13,21,1514
90,444,495,490,11,0.787878788,1,0.881355932,26,33,1525
91,152,580,550,548,0.733333333,1,0.846153846,22,30,1522
92,70,20,457,52,0.6,1,0.75,12,20,1567
93,566,515,495,117,0.625,1,0.769230769,15,24,1504
94,465,458,19,566,0.780487805,1,0.876712329,32,41,1530
95,330,354,33,373,0.783783784,1,0.878787879,29,37,1554
96,569,424,180,163,0.710526316,1,0.830769231,27,38,1547
97,373,524,641,313,0.810810811,1,0.895522388,30,37,1519
98,447,46,260,130,0.733333333,1,0.846153846,22,30,1520
99,221,611,341,528,0.696969697,1,0.821428571,23,33,1500
100,416,464,405,415,0.714285714,1,0.833333333,20,28,1429
101,263,645,230,546,0.820512821,1,0.901408451,32,39,1560
102,506,226,390,562,0.714285714,1,0.833333333,20,28,1522
103,471,387,26,388,0.757575758,1,0.862068966,25,33,1588
104,123,471,311,413,0.653846154,1,0.790697674,17,26,1564
105,57,286,27,604,0.730769231,1,0.844444444,19,26,1535
106,20,430,405,98,0.75862069,1,0.862745098,22,29,1505
107,350,323,10,12,0.64,1,0.780487805,16,25,1477
108,133,158,318,60,0.714285714,1,0.833333333,25,35,1468
109,597,57,336,326,0.804878049,1,0.891891892,33,41,1533
110,345,372,326,379,0.78125,1,0.877192982,25,32,1511
111,32,197,313,497,0.625,1,0.769230769,15,24,1554
112,225,177,404,231,0.571428571,1,0.727272727,12,21,1483
113,548,412,546,247,0.78125,1,0.877192982,25,32,1531
114,225,335,172,580,0.6875,1,0.814814815,22,32,1524
115,463,394,216,492,0.65625,1,0.79245283,21,32,1559
116,259,288,390,434,0.68,1,0.80952381,17,25,1542
117,48,228,133,553,0.692307692,1,0.818181818,18,26,1557
118,522,550,564,539,0.611111111,1,0.75862069,11,18,1570
119,588,437,404,396,0.5,1,0.666666667,10,20,1452
120,219,123,299,531,0.727272727,1,0.842105263,24,33,1535
121,328,258,391,356,0.619047619,1,0.764705882,13,21,1581
122,184,651,451,94,0.5625,1,0.72,9,16,1498
123,97,62,235,197,0.733333333,1,0.846153846,22,30,1493
124,386,551,50,176,0.794117647,1,0.885245902,27,34,1489
125,475,307,214,498,0.6,1,0.75,15,25,1567
126,388,36,262,365,0.75,1,0.857142857,27,36,1597
127,130,564,533,300,0.689655172,1,0.816326531,20,29,1521
128,398,616,460,3,0.735294118,1,0.847457627,25,34,1554
129,345,116,614,484,0.741935484,1,0.851851852,23,31,1510
130,639,606,166,384,0.625,1,0.769230769,15,24,1553
131,40,191,424,388,0.775,1,0.873239437,31,40,1508
132,424,334,227,626,0.714285714,1,0.833333333,20,28,1520
133,418,186,476,253,0.678571429,1,0.808510638,19,28,1579
134,515,640,106,161,0.5,1,0.666666667,9,18,1575
135,574,49,490,583,0.769230769,1,0.869565217,30,39,1563
136,422,187,472,214,0.764705882,1,0.866666667,26,34,1562
137,417,307,43,109,0.642857143,1,0.782608696,18,28,1528
138,138,593,416,476,0.6875,1,0.814814815,22,32,1475
