,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
0,322,231,139,575,0.611111111,1,0.75862069,11,18,1575
1,564,132,413,301,0.740740741,1,0.85106383,20,27,1497
2,213,381,545,642,0.780487805,1,0.876712329,32,41,1496
3,569,264,235,107,0.766666667,1,0.867924528,23,30,1519
4,511,99,368,172,0.833333333,1,0.909090909,30,36,1584
5,348,627,613,244,0.75,1,0.857142857,24,32,1543
6,624,436,15,536,0.76,1,0.863636364,19,25,1557
7,226,504,342,371,0.8,1,0.888888889,24,30,1525
8,188,535,302,347,0.741935484,1,0.851851852,23,31,1499
9,515,374,202,630,0.794117647,1,0.885245902,27,34,1571
10,448,646,228,542,0.75862069,1,0.862745098,22,29,1560
11,313,522,331,211,0.64516129,1,0.784313725,20,31,1541
12,389,322,17,482,0.739130435,1,0.85,17,23,1526
13,27,112,473,7,0.75,1,0.857142857,24,32,1496
14,617,579,491,6,0.764705882,1,0.866666667,26,34,1543
15,469,610,387,393,0.739130435,1,0.85,17,23,1546
16,556,488,282,429,0.741935484,1,0.851851852,23,31,1556
17,198,372,417,575,0.769230769,1,0.869565217,20,26,1525
18,33,567,439,493,0.787878788,1,0.881355932,26,33,1531
19,425,112,558,183,0.785714286,1,0.88,22,28,1578
20,600,143,36,261,0.785714286,1,0.88,22,28,1565
21,240,575,405,472,0.8125,1,0.896551724,26,32,1452
22,157,610,477,244,0.78125,1,0.877192982,25,32,1518
23,132,570,612,28,0.742857143,1,0.852459016,26,35,1559
24,314,107,242,65,0.727272727,1,0.842105263,16,22,1444
25,610,529,56,29,0.8125,1,0.896551724,26,32,1577
26,19,485,247,42,0.794871795,1,0.885714286,31,39,1595
27,592,69,77,378,0.714285714,1,0.833333333,20,28,1565
28,14,214,316,574,0.793103448,1,0.884615385,23,29,1500
29,71,66,41,69,0.730769231,1,0.844444444,19,26,1551
30,614,628,433,332,0.823529412,1,0.903225806,28,34,1558
