,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
0,405,267,1,1,1,11,11,1619
1,395,232,0.666666667,1,0.8,4,6,1544
2,636,203,1,1,1,17,17,1556
3,581,456,0.923076923,1,0.96,12,13,1598
4,517,191,0.9,1,0.947368421,9,10,1607
5,511,33,1,1,1,7,7,1620
6,523,177,0.888888889,1,0.941176471,8,9,1594
7,153,577,1,1,1,6,6,1586
8,188,460,0.916666667,1,0.956521739,11,12,1581
9,11,119,0.846153846,1,0.916666667,11,13,1585
10,225,560,1,1,1,13,13,1596
11,288,654,0.909090909,1,0.952380952,10,11,1557
12,282,288,0.857142857,1,0.923076923,12,14,1613
13,368,505,0.9,1,0.947368421,9,10,1627
14,454,619,0.933333333,1,0.965517241,14,15,1632
15,105,568,1,1,1,7,7,1463
16,634,271,1,1,1,8,8,1652
17,492,342,0.888888889,1,0.941176471,8,9,1535
18,560,122,1,1,1,2,2,1555
19,347,611,0.875,1,0.933333333,7,8,1599
20,278,152,1,1,1,7,7,1616
21,410,301,0.916666667,1,0.956521739,11,12,1607
22,133,499,0.928571429,1,0.962962963,13,14,1609
23,310,224,0.75,1,0.857142857,6,8,1550
24,64,606,0.916666667,1,0.956521739,11,12,1558
25,133,165,1,1,1,13,13,1541
26,78,260,0.8,1,0.888888889,8,10,1659
27,185,109,0.818181818,1,0.9,9,11,1552
28,277,120,1,1,1,5,5,1426
29,29,483,0.818181818,1,0.9,9,11,1658
30,580,192,1,1,1,9,9,1558
31,105,63,0.571428571,1,0.727272727,4,7,1614
32,306,582,1,1,1,5,5,1632
33,606,547,0.769230769,1,0.869565217,10,13,1601
34,189,112,0.714285714,1,0.833333333,5,7,1525
35,247,189,1,1,1,8,8,1531
36,246,660,0.916666667,1,0.956521739,11,12,1624
37,1,198,1,1,1,8,8,1540
38,501,228,0.846153846,1,0.916666667,11,13,1585
39,70,552,0.75,1,0.857142857,6,8,1487
40,503,390,1,1,1,8,8,1490
41,69,659,0.666666667,1,0.8,4,6,1616
42,460,631,0.846153846,1,0.916666667,11,13,1578
43,88,589,1,1,1,6,6,1615
44,614,165,1,1,1,6,6,1625
45,204,580,1,1,1,15,15,1594
46,208,402,0.875,1,0.933333333,7,8,1636
47,11,457,0.875,1,0.933333333,14,16,1488
48,508,49,0.857142857,1,0.923076923,6,7,1561
49,6,162,1,1,1,7,7,1580
50,219,43,0.769230769,1,0.869565217,10,13,1594
51,219,383,1,1,1,7,7,1525
52,128,107,0.833333333,1,0.909090909,5,6,1566
53,658,204,0.916666667,1,0.956521739,11,12,1610
54,568,3,1,1,1,5,5,1545
55,422,305,0.875,1,0.933333333,7,8,1506
56,17,419,1,1,1,5,5,1579
57,188,307,0.875,1,0.933333333,7,8,1673
58,615,314,0.928571429,1,0.962962963,13,14,1453
59,89,555,0.8,1,0.888888889,4,5,1569
60,3,489,0.6,1,0.75,3,5,1593
61,169,139,0.875,1,0.933333333,7,8,1625
62,9,5,0.777777778,1,0.875,7,9,1558
63,115,199,1,1,1,9,9,1654
64,547,145,0.928571429,1,0.962962963,13,14,1571
65,130,279,0.818181818,1,0.9,9,11,1484
66,256,484,0.8,1,0.888888889,8,10,1550
67,339,67,0.833333333,1,0.909090909,5,6,1546
68,648,343,0.888888889,1,0.941176471,8,9,1524
69,9,429,0.666666667,1,0.8,4,6,1601
70,638,97,0.6,1,0.75,6,10,1649
71,446,398,0.75,1,0.857142857,9,12,1666
72,467,565,0.909090909,1,0.952380952,10,11,1598
73,345,176,0.6,1,0.75,3,5,1615
74,202,133,0.857142857,1,0.923076923,12,14,1623
75,78,109,1,1,1,9,9,1582
76,287,625,0.888888889,1,0.941176471,8,9,1681
77,439,559,0.875,1,0.933333333,14,16,1517
78,585,594,0.888888889,1,0.941176471,8,9,1618
79,279,217,0.777777778,1,0.875,7,9,1535
80,190,416,1,1,1,10,10,1545
81,439,484,0.9,1,0.947368421,9,10,1610
82,9,397,0.9,1,0.947368421,9,10,1583
83,9,131,0.8,1,0.888888889,4,5,1628
84,357,331,0.75,1,0.857142857,9,12,1528
85,274,451,1,1,1,10,10,1595
86,28,334,0.833333333,1,0.909090909,5,6,1596
87,590,436,0.888888889,1,0.941176471,8,9,1617
88,643,5,1,1,1,9,9,1551
89,261,358,1,1,1,10,10,1641
90,523,207,0.857142857,1,0.923076923,12,14,1503
91,435,191,0.923076923,1,0.96,12,13,1660
92,620,47,1,1,1,8,8,1574
93,345,161,0.846153846,1,0.916666667,11,13,1562
94,4,141,1,1,1,12,12,1649
95,562,451,0.727272727,1,0.842105263,8,11,1504
96,96,451,0.777777778,1,0.875,7,9,1615
97,379,337,1,1,1,15,15,1701
98,360,527,0.714285714,1,0.833333333,5,7,1553
99,594,269,0.75,1,0.857142857,6,8,1600
100,302,171,1,1,1,4,4,1528
101,429,283,1,1,1,3,3,1498
102,177,111,0.714285714,1,0.833333333,5,7,1620
103,354,37,1,1,1,3,3,1601
104,102,411,1,1,1,10,10,1658
105,121,52,1,1,1,5,5,1592
106,28,11,0.714285714,1,0.833333333,5,7,1573
107,311,518,0.909090909,1,0.952380952,10,11,1601
108,79,375,0.727272727,1,0.842105263,8,11,1599
109,648,76,0.909090909,1,0.952380952,10,11,1615
110,46,446,1,1,1,8,8,1711
111,343,144,0.846153846,1,0.916666667,11,13,1645
112,355,406,0.9375,1,0.967741935,15,16,1541
113,365,270,0.875,1,0.933333333,7,8,1576
114,97,123,0.777777778,1,0.875,7,9,1605
115,490,292,0.846153846,1,0.916666667,11,13,1598
116,553,515,1,1,1,6,6,1583
117,93,145,0.923076923,1,0.96,12,13,1654
118,354,34,0.866666667,1,0.928571429,13,15,1604
119,642,516,0.727272727,1,0.842105263,8,11,1653
120,53,532,0.909090909,1,0.952380952,10,11,1681
121,383,312,0.916666667,1,0.956521739,11,12,1524
122,457,188,0.857142857,1,0.923076923,12,14,1538
123,454,536,0.894736842,1,0.944444444,17,19,1611
124,207,220,0.9,1,0.947368421,9,10,1618
125,626,660,0.727272727,1,0.842105263,8,11,1558
126,104,651,0.909090909,1,0.952380952,10,11,1716
127,251,373,0.666666667,1,0.8,2,3,1635
128,618,231,1,1,1,12,12,1632
129,409,414,1,1,1,9,9,1690
130,618,300,1,1,1,7,7,1658
131,624,326,0.875,1,0.933333333,7,8,1668
132,621,260,1,1,1,9,9,1635
133,341,308,0.8,1,0.888888889,4,5,1599
134,100,48,1,1,1,9,9,1501
135,643,149,0.857142857,1,0.923076923,6,7,1620
136,3,99,0.933333333,1,0.965517241,14,15,1569
137,595,399,1,1,1,9,9,1504
138,537,590,0.909090909,1,0.952380952,10,11,1650
139,619,388,1,1,1,6,6,1695
140,446,39,1,1,1,10,10,1617
141,494,642,1,1,1,7,7,1570
142,503,316,1,1,1,5,5,1614
143,627,307,0.909090909,1,0.952380952,10,11,1551
144,523,642,0.857142857,1,0.923076923,6,7,1512
145,531,363,1,1,1,11,11,1645
146,395,20,0.866666667,1,0.928571429,13,15,1523
147,636,218,1,1,1,12,12,1509
148,174,519,1,1,1,9,9,1638
149,303,425,0.769230769,1,0.869565217,10,13,1623
150,46,506,0.8,1,0.888888889,4,5,1499
151,345,192,0.923076923,1,0.96,12,13,1618
152,540,85,0.857142857,1,0.923076923,12,14,1587
153,91,480,1,1,1,11,11,1689
154,258,436,0.666666667,1,0.8,4,6,1538
155,385,524,0.875,1,0.933333333,7,8,1646
156,623,24,0.833333333,1,0.909090909,10,12,1650
157,508,548,0.777777778,1,0.875,7,9,1674
158,261,480,1,1,1,4,4,1628
159,23,525,0.9,1,0.947368421,9,10,1603
160,398,98,0.928571429,1,0.962962963,13,14,1644
161,181,448,0.818181818,1,0.9,9,11,1603
162,335,168,0.769230769,1,0.869565217,10,13,1472
163,171,237,1,1,1,6,6,1561
164,237,54,0.875,1,0.933333333,7,8,1648
165,154,653,0.666666667,1,0.8,6,9,1538
166,364,345,0.818181818,1,0.9,9,11,1628
167,607,190,0.857142857,1,0.923076923,6,7,1590
168,209,165,1,1,1,9,9,1518
169,243,345,0.857142857,1,0.923076923,12,14,1623
170,161,6,1,1,1,12,12,1533
171,161,30,0.9,1,0.947368421,9,10,1521
172,358,242,1,1,1,7,7,1661
173,559,98,0.9,1,0.947368421,9,10,1611
174,76,327,0.888888889,1,0.941176471,8,9,1664
175,429,425,0.846153846,1,0.916666667,11,13,1598
176,151,244,0.875,1,0.933333333,7,8,1491
177,283,448,1,1,1,16,16,1593
178,525,412,0.7,1,0.823529412,7,10,1635
179,269,307,0.833333333,1,0.909090909,10,12,1637
180,66,293,0.923076923,1,0.96,12,13,1541
181,49,291,0.866666667,1,0.928571429,13,15,1615
182,535,636,0.9375,1,0.967741935,15,16,1553
183,577,580,1,1,1,7,7,1606
184,166,324,0.8,1,0.888888889,4,5,1620
