,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
0,103,244,610,0.913043478,1,0.954545455,21,23,1516
1,176,271,520,0.833333333,1,0.909090909,20,24,1484
2,5,40,602,0.777777778,1,0.875,21,27,1493
3,96,502,436,0.9,1,0.947368421,27,30,1500
4,221,213,105,0.807692308,1,0.893617021,21,26,1503
5,505,222,623,0.833333333,1,0.909090909,20,24,1483
6,138,293,214,0.757575758,1,0.862068966,25,33,1473
7,69,656,645,0.916666667,1,0.956521739,22,24,1475
8,378,109,426,0.80952381,1,0.894736842,17,21,1563
9,389,305,480,0.833333333,1,0.909090909,20,24,1541
10,286,458,559,0.8,1,0.888888889,20,25,1521
11,88,200,239,0.866666667,1,0.928571429,13,15,1485
12,325,65,294,0.857142857,1,0.923076923,24,28,1520
13,626,183,34,0.769230769,1,0.869565217,20,26,1430
14,199,377,68,0.84,1,0.913043478,21,25,1490
15,564,5,14,0.84375,1,0.915254237,27,32,1564
16,330,625,486,0.833333333,1,0.909090909,15,18,1548
17,121,368,500,0.84375,1,0.915254237,27,32,1520
18,360,349,299,0.9,1,0.947368421,18,20,1500
19,162,563,2,0.870967742,1,0.931034483,27,31,1467
20,516,134,19,0.791666667,1,0.88372093,19,24,1486
21,465,274,544,0.84,1,0.913043478,21,25,1450
22,659,623,151,0.928571429,1,0.962962963,26,28,1484
23,660,158,376,0.870967742,1,0.931034483,27,31,1511
24,614,204,338,0.925925926,1,0.961538462,25,27,1493
25,611,329,649,0.862068966,1,0.925925926,25,29,1472
26,293,567,124,0.709677419,1,0.830188679,22,31,1549
27,152,103,168,0.851851852,1,0.92,23,27,1550
28,292,372,630,0.90625,1,0.950819672,29,32,1516
29,389,32,435,0.805555556,1,0.892307692,29,36,1488
30,262,100,292,0.766666667,1,0.867924528,23,30,1555
31,381,440,558,0.774193548,1,0.872727273,24,31,1560
32,449,258,450,0.833333333,1,0.909090909,20,24,1567
33,237,599,158,0.833333333,1,0.909090909,25,30,1529
34,168,544,130,0.791666667,1,0.88372093,19,24,1520
35,461,533,314,0.842105263,1,0.914285714,16,19,1552
36,604,118,577,0.903225806,1,0.949152542,28,31,1534
37,119,286,65,0.791666667,1,0.88372093,19,24,1513
38,504,210,105,0.884615385,1,0.93877551,23,26,1491
39,150,548,62,0.827586207,1,0.905660377,24,29,1481
40,244,457,224,0.821428571,1,0.901960784,23,28,1516
41,603,173,16,0.740740741,1,0.85106383,20,27,1512
42,307,139,364,0.71875,1,0.836363636,23,32,1590
43,522,46,488,0.791666667,1,0.88372093,19,24,1498
44,121,8,415,0.882352941,1,0.9375,15,17,1546
