,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
0,296,1,166,1,1,1,19,19,1394
1,464,83,258,0.9375,1,0.967741935,15,16,1426
2,651,394,652,0.961538462,1,0.980392157,25,26,1391
3,133,435,213,0.913043478,1,0.954545455,21,23,1374
4,460,354,272,0.909090909,1,0.952380952,20,22,1435
5,162,129,586,0.947368421,1,0.972972973,18,19,1456
6,352,79,5,0.882352941,1,0.9375,15,17,1425
7,286,79,291,1,1,1,20,20,1435
8,438,437,493,0.703703704,1,0.826086957,19,27,1488
9,484,332,426,0.875,1,0.933333333,21,24,1481
10,504,414,215,0.861111111,1,0.925373134,31,36,1517
11,593,644,69,0.862068966,1,0.925925926,25,29,1469
12,652,372,445,0.869565217,1,0.930232558,20,23,1378
13,53,349,572,0.916666667,1,0.956521739,22,24,1429
14,202,645,397,0.9375,1,0.967741935,15,16,1438
15,15,94,303,0.851851852,1,0.92,23,27,1436
16,353,538,318,0.958333333,1,0.978723404,23,24,1450
17,3,244,248,0.941176471,1,0.96969697,16,17,1440
18,510,122,320,0.888888889,1,0.941176471,24,27,1491
19,75,47,393,0.846153846,1,0.916666667,22,26,1401
20,363,627,254,0.9,1,0.947368421,27,30,1408
21,274,119,460,0.923076923,1,0.96,24,26,1341
22,99,233,120,0.666666667,1,0.8,10,15,1377
23,625,194,263,0.95,1,0.974358974,19,20,1414
24,207,158,449,0.9,1,0.947368421,18,20,1414
25,381,509,650,0.965517241,1,0.98245614,28,29,1483
26,597,130,282,0.84375,1,0.915254237,27,32,1555
27,601,650,207,0.821428571,1,0.901960784,23,28,1416
28,195,252,290,0.911764706,1,0.953846154,31,34,1461
29,650,16,20,0.939393939,1,0.96875,31,33,1499
30,584,229,644,0.958333333,1,0.978723404,23,24,1419
31,602,168,262,0.85,1,0.918918919,34,40,1425
32,650,108,130,0.875,1,0.933333333,21,24,1448
33,231,454,283,0.857142857,1,0.923076923,24,28,1348
34,547,335,405,0.862068966,1,0.925925926,25,29,1451
35,228,377,556,0.88,1,0.936170213,22,25,1454
36,417,125,538,1,1,1,30,30,1490
37,315,455,659,0.80952381,1,0.894736842,17,21,1372
38,496,360,242,0.888888889,1,0.941176471,16,18,1382
39,137,81,568,0.945945946,1,0.972222222,35,37,1441
40,297,511,77,0.766666667,1,0.867924528,23,30,1372
41,517,90,33,0.862068966,1,0.925925926,25,29,1416
42,541,445,358,0.8,1,0.888888889,16,20,1416
43,566,70,178,0.931034483,1,0.964285714,27,29,1394
44,607,516,462,0.933333333,1,0.965517241,28,30,1413
45,388,230,401,0.916666667,1,0.956521739,22,24,1497
46,621,523,427,0.75,1,0.857142857,21,28,1435
47,414,28,562,0.826086957,1,0.904761905,19,23,1413
