,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
0,219,272,198,279,0.804878049,1,0.891891892,33,41,1310
1,596,509,136,566,0.720930233,1,0.837837838,31,43,1366
2,93,612,333,574,0.75,1,0.857142857,30,40,1367
3,56,260,418,496,0.733333333,1,0.846153846,33,45,1278
4,250,313,195,4,0.822222222,1,0.902439024,37,45,1303
5,132,338,150,543,0.78,1,0.876404494,39,50,1243
6,345,472,564,478,0.780487805,1,0.876712329,32,41,1365
7,26,481,272,649,0.745098039,1,0.853932584,38,51,1336
8,221,181,274,452,0.783783784,1,0.878787879,29,37,1235
9,216,244,414,651,0.836363636,1,0.910891089,46,55,1342
10,227,601,605,9,0.842105263,1,0.914285714,48,57,1297
11,466,539,221,63,0.69047619,1,0.816901408,29,42,1316
12,580,630,651,443,0.88,1,0.936170213,44,50,1410
13,33,323,344,218,0.82,1,0.901098901,41,50,1288
14,573,6,544,401,0.839285714,1,0.912621359,47,56,1362
15,332,8,316,405,0.756756757,1,0.861538462,28,37,1334
16,224,130,451,462,0.711111111,1,0.831168831,32,45,1336
17,374,630,217,80,0.739130435,1,0.85,34,46,1317
18,417,445,641,29,0.829268293,1,0.906666667,34,41,1307
19,156,105,126,13,0.795918367,1,0.886363636,39,49,1328
20,322,551,570,232,0.829787234,1,0.906976744,39,47,1286
21,304,428,479,281,0.692307692,1,0.818181818,27,39,1374
22,132,136,485,316,0.738095238,1,0.849315068,31,42,1301
23,550,236,549,66,0.739130435,1,0.85,34,46,1266
24,132,118,649,572,0.76,1,0.863636364,38,50,1339
25,89,632,176,143,0.75,1,0.857142857,36,48,1278
26,589,535,581,145,0.666666667,1,0.8,22,33,1277
27,103,208,171,188,0.803921569,1,0.891304348,41,51,1317
28,2,317,525,512,0.697674419,1,0.821917808,30,43,1318
29,145,656,639,480,0.837837838,1,0.911764706,31,37,1276
30,495,71,568,439,0.804347826,1,0.891566265,37,46,1296
31,73,351,140,308,0.612903226,1,0.76,19,31,1300
32,342,37,5,633,0.707317073,1,0.828571429,29,41,1290
33,45,264,56,86,0.674418605,1,0.805555556,29,43,1273
34,417,639,619,309,0.775510204,1,0.873563218,38,49,1328
35,447,179,467,440,0.756756757,1,0.861538462,28,37,1271
36,408,584,76,256,0.760869565,1,0.864197531,35,46,1254
37,487,598,275,509,0.722222222,1,0.838709677,26,36,1309
38,420,285,44,315,0.818181818,1,0.9,36,44,1350
39,471,156,662,204,0.795918367,1,0.886363636,39,49,1353
40,631,138,380,57,0.760869565,1,0.864197531,35,46,1368
41,123,284,630,629,0.795454545,1,0.886075949,35,44,1310
42,52,250,642,653,0.780487805,1,0.876712329,32,41,1294
43,351,69,57,92,0.769230769,1,0.869565217,30,39,1347
