User0,User1,SL item đánh giá chung
606.0,478.0,47.0
85.0,386.0,52.0
540.0,334.0,55.0
333.0,403.0,59.0
55.0,216.0,43.0
545.0,461.0,42.0
186.0,635.0,50.0
381.0,37.0,60.0
550.0,5.0,49.0
168.0,363.0,49.0
71.0,49.0,48.0
657.0,492.0,35.0
510.0,84.0,39.0
162.0,118.0,54.0
267.0,615.0,45.0
460.0,482.0,49.0
485.0,451.0,39.0
612.0,350.0,51.0
526.0,634.0,54.0
9.0,400.0,49.0
541.0,273.0,58.0
345.0,11.0,66.0
420.0,445.0,49.0
460.0,8.0,46.0
249.0,401.0,50.0
311.0,409.0,44.0
650.0,567.0,53.0
264.0,548.0,56.0
452.0,290.0,50.0
502.0,642.0,47.0
8.0,520.0,47.0
13.0,88.0,49.0
648.0,372.0,53.0
554.0,561.0,45.0
550.0,255.0,56.0
98.0,212.0,41.0
68.0,631.0,34.0
109.0,66.0,56.0
332.0,82.0,36.0
559.0,494.0,46.0
46.0,309.0,50.0
57.0,656.0,46.0
639.0,177.0,49.0
590.0,300.0,53.0
181.0,389.0,58.0
606.0,262.0,45.0
255.0,96.0,45.0
317.0,466.0,52.0
462.0,416.0,46.0
614.0,69.0,49.0
360.0,370.0,53.0
353.0,157.0,50.0
193.0,321.0,57.0
81.0,570.0,50.0
159.0,186.0,54.0
368.0,42.0,55.0
144.0,591.0,55.0
457.0,592.0,47.0
560.0,258.0,59.0
588.0,218.0,52.0
112.0,473.0,43.0
336.0,30.0,45.0
337.0,658.0,49.0
152.0,583.0,50.0
374.0,171.0,46.0
98.0,185.0,44.0
76.0,440.0,41.0
573.0,287.0,50.0
161.0,292.0,48.0
383.0,91.0,39.0
276.0,207.0,54.0
552.0,387.0,50.0
375.0,623.0,53.0
660.0,105.0,40.0
432.0,307.0,42.0
323.0,347.0,45.0
242.0,345.0,55.0
319.0,531.0,55.0
164.0,505.0,61.0
402.0,58.0,48.0
16.0,250.0,53.0
447.0,165.0,43.0
521.0,621.0,49.0
306.0,571.0,47.0
150.0,527.0,47.0
481.0,451.0,47.0
193.0,381.0,52.0
337.0,344.0,51.0
347.0,341.0,39.0
349.0,103.0,48.0
266.0,339.0,38.0
403.0,535.0,53.0
330.0,341.0,55.0
278.0,382.0,35.0
253.0,147.0,40.0
48.0,604.0,51.0
605.0,646.0,43.0
590.0,331.0,58.0
487.0,430.0,52.0
503.0,610.0,48.0
34.0,467.0,43.0
245.0,206.0,36.0
481.0,455.0,51.0
75.0,381.0,52.0
630.0,78.0,51.0
34.0,103.0,51.0
605.0,282.0,57.0
399.0,354.0,51.0
362.0,491.0,59.0
333.0,130.0,46.0
634.0,564.0,49.0
359.0,608.0,60.0
54.0,602.0,46.0
220.0,300.0,54.0
633.0,551.0,56.0
140.0,640.0,71.0
103.0,46.0,50.0
45.0,151.0,35.0
506.0,293.0,58.0
250.0,506.0,47.0
221.0,479.0,44.0
353.0,362.0,51.0
573.0,481.0,55.0
92.0,88.0,55.0
272.0,267.0,52.0
315.0,549.0,49.0
203.0,141.0,61.0
219.0,236.0,49.0
630.0,273.0,52.0
344.0,578.0,54.0
567.0,101.0,61.0
618.0,112.0,60.0
199.0,51.0,49.0
248.0,82.0,43.0
586.0,302.0,60.0
660.0,224.0,54.0
295.0,556.0,57.0
631.0,148.0,56.0
301.0,147.0,38.0
171.0,172.0,57.0
590.0,289.0,57.0
458.0,185.0,44.0
259.0,476.0,54.0
648.0,190.0,56.0
628.0,399.0,42.0
42.0,578.0,44.0
220.0,648.0,43.0
27.0,516.0,58.0
118.0,181.0,67.0
427.0,537.0,46.0
592.0,648.0,56.0
151.0,251.0,52.0
48.0,136.0,42.0
330.0,581.0,45.0
571.0,589.0,41.0
481.0,489.0,59.0
201.0,334.0,59.0
578.0,203.0,46.0
325.0,249.0,50.0
461.0,553.0,44.0
191.0,7.0,47.0
312.0,660.0,47.0
458.0,145.0,37.0
406.0,94.0,48.0
448.0,333.0,55.0
42.0,306.0,53.0
391.0,71.0,51.0
254.0,494.0,49.0
490.0,351.0,50.0
380.0,589.0,60.0
465.0,185.0,37.0
454.0,354.0,54.0
330.0,354.0,51.0
555.0,79.0,48.0
279.0,271.0,45.0
645.0,144.0,55.0
291.0,384.0,51.0
251.0,351.0,60.0
39.0,337.0,55.0
258.0,462.0,49.0
643.0,55.0,56.0
278.0,514.0,61.0
492.0,311.0,54.0
420.0,622.0,65.0
639.0,375.0,56.0
605.0,631.0,55.0
376.0,67.0,43.0
648.0,14.0,60.0
614.0,91.0,61.0
425.0,623.0,58.0
8.0,329.0,61.0
135.0,517.0,43.0
253.0,633.0,41.0
444.0,457.0,54.0
403.0,458.0,50.0
64.0,45.0,39.0
94.0,277.0,41.0
250.0,166.0,41.0
243.0,200.0,49.0
498.0,372.0,65.0
372.0,361.0,41.0
560.0,345.0,59.0
376.0,608.0,54.0
268.0,323.0,44.0
317.0,377.0,43.0
303.0,414.0,48.0
173.0,22.0,52.0
357.0,138.0,52.0
180.0,442.0,57.0
47.0,449.0,47.0
507.0,233.0,50.0
435.0,84.0,43.0
150.0,534.0,58.0
645.0,209.0,50.0
57.0,184.0,42.0
644.0,336.0,51.0
615.0,394.0,46.0
132.0,525.0,62.0
24.0,144.0,48.0
285.0,219.0,49.0
18.0,484.0,43.0
67.0,49.0,51.0
118.0,228.0,52.0
519.0,328.0,51.0
392.0,478.0,40.0
9.0,575.0,42.0
170.0,292.0,42.0
327.0,342.0,48.0
469.0,361.0,31.0
78.0,374.0,49.0
251.0,317.0,43.0
323.0,431.0,48.0
519.0,55.0,42.0
660.0,478.0,41.0
502.0,347.0,54.0
559.0,548.0,50.0
251.0,228.0,49.0
558.0,291.0,59.0
419.0,144.0,60.0
105.0,653.0,46.0
35.0,509.0,50.0
539.0,476.0,49.0
595.0,157.0,47.0
606.0,601.0,58.0
481.0,443.0,62.0
379.0,520.0,42.0
262.0,151.0,49.0
554.0,659.0,47.0
140.0,521.0,55.0
171.0,4.0,46.0
275.0,353.0,51.0
531.0,186.0,61.0
554.0,516.0,41.0
510.0,126.0,50.0
238.0,2.0,55.0
