User0,User1,User2,SL item đánh giá chung
103.0,244.0,610.0,8.0
176.0,271.0,520.0,7.0
5.0,40.0,602.0,5.0
96.0,502.0,436.0,9.0
221.0,213.0,105.0,8.0
505.0,222.0,623.0,8.0
138.0,293.0,214.0,13.0
69.0,656.0,645.0,7.0
378.0,109.0,426.0,11.0
389.0,305.0,480.0,10.0
286.0,458.0,559.0,5.0
88.0,200.0,239.0,2.0
325.0,65.0,294.0,7.0
626.0,183.0,34.0,9.0
199.0,377.0,68.0,4.0
564.0,5.0,14.0,8.0
330.0,625.0,486.0,5.0
121.0,368.0,500.0,2.0
360.0,349.0,299.0,5.0
162.0,563.0,2.0,8.0
516.0,134.0,19.0,9.0
465.0,274.0,544.0,5.0
659.0,623.0,151.0,11.0
660.0,158.0,376.0,12.0
614.0,204.0,338.0,7.0
611.0,329.0,649.0,7.0
293.0,567.0,124.0,8.0
152.0,103.0,168.0,5.0
292.0,372.0,630.0,8.0
389.0,32.0,435.0,4.0
262.0,100.0,292.0,7.0
381.0,440.0,558.0,4.0
449.0,258.0,450.0,11.0
237.0,599.0,158.0,6.0
168.0,544.0,130.0,6.0
461.0,533.0,314.0,6.0
604.0,118.0,577.0,5.0
119.0,286.0,65.0,12.0
504.0,210.0,105.0,7.0
150.0,548.0,62.0,5.0
244.0,457.0,224.0,7.0
603.0,173.0,16.0,5.0
307.0,139.0,364.0,7.0
522.0,46.0,488.0,6.0
121.0,8.0,415.0,9.0
637.0,207.0,372.0,6.0
536.0,304.0,403.0,11.0
628.0,103.0,389.0,10.0
8.0,555.0,482.0,11.0
380.0,122.0,592.0,8.0
21.0,137.0,290.0,5.0
355.0,142.0,542.0,9.0
601.0,274.0,236.0,6.0
542.0,224.0,365.0,9.0
375.0,532.0,44.0,7.0
465.0,86.0,492.0,6.0
271.0,327.0,71.0,5.0
395.0,570.0,646.0,6.0
300.0,114.0,218.0,7.0
25.0,502.0,443.0,8.0
591.0,235.0,462.0,7.0
118.0,43.0,137.0,6.0
524.0,649.0,564.0,6.0
373.0,144.0,556.0,4.0
605.0,599.0,341.0,7.0
227.0,466.0,492.0,8.0
263.0,640.0,402.0,6.0
660.0,78.0,501.0,16.0
72.0,289.0,163.0,3.0
602.0,151.0,430.0,5.0
90.0,397.0,180.0,8.0
280.0,513.0,348.0,9.0
54.0,278.0,264.0,5.0
510.0,545.0,441.0,9.0
640.0,621.0,581.0,11.0
577.0,327.0,98.0,8.0
169.0,366.0,156.0,5.0
507.0,370.0,10.0,7.0
67.0,140.0,190.0,7.0
127.0,226.0,648.0,5.0
129.0,56.0,80.0,5.0
247.0,233.0,36.0,14.0
16.0,333.0,19.0,9.0
392.0,416.0,109.0,7.0
653.0,26.0,20.0,3.0
238.0,584.0,89.0,7.0
1.0,517.0,530.0,6.0
82.0,96.0,231.0,10.0
353.0,85.0,428.0,13.0
160.0,138.0,128.0,9.0
549.0,622.0,554.0,4.0
162.0,590.0,149.0,13.0
93.0,537.0,29.0,5.0
9.0,22.0,662.0,8.0
597.0,55.0,47.0,15.0
216.0,129.0,577.0,8.0
518.0,401.0,504.0,4.0
313.0,414.0,495.0,10.0
350.0,563.0,290.0,10.0
210.0,470.0,287.0,11.0
459.0,298.0,70.0,3.0
27.0,495.0,217.0,8.0
20.0,271.0,359.0,7.0
308.0,310.0,405.0,2.0
205.0,398.0,541.0,8.0
493.0,532.0,260.0,2.0
352.0,259.0,660.0,9.0
3.0,344.0,10.0,6.0
362.0,298.0,423.0,10.0
578.0,209.0,322.0,6.0
533.0,63.0,562.0,10.0
351.0,288.0,157.0,6.0
573.0,77.0,375.0,9.0
167.0,384.0,440.0,6.0
79.0,623.0,467.0,7.0
491.0,54.0,358.0,14.0
523.0,75.0,517.0,6.0
39.0,469.0,559.0,5.0
424.0,597.0,196.0,6.0
573.0,69.0,641.0,8.0
640.0,534.0,431.0,8.0
327.0,457.0,547.0,14.0
584.0,338.0,485.0,4.0
555.0,53.0,584.0,7.0
70.0,451.0,175.0,5.0
5.0,283.0,74.0,6.0
46.0,564.0,512.0,10.0
86.0,503.0,78.0,7.0
147.0,195.0,404.0,6.0
71.0,244.0,213.0,8.0
555.0,329.0,456.0,8.0
423.0,570.0,240.0,5.0
306.0,445.0,150.0,6.0
128.0,518.0,615.0,10.0
278.0,303.0,288.0,8.0
536.0,132.0,556.0,3.0
23.0,322.0,251.0,4.0
56.0,172.0,421.0,8.0
119.0,497.0,574.0,8.0
161.0,195.0,605.0,7.0
288.0,650.0,425.0,8.0
95.0,499.0,362.0,7.0
545.0,626.0,497.0,8.0
259.0,489.0,136.0,8.0
12.0,236.0,55.0,10.0
607.0,150.0,8.0,7.0
409.0,561.0,451.0,12.0
292.0,573.0,64.0,9.0
24.0,384.0,290.0,6.0
611.0,324.0,422.0,6.0
194.0,406.0,447.0,10.0
531.0,483.0,462.0,9.0
544.0,652.0,595.0,6.0
395.0,466.0,8.0,6.0
526.0,125.0,121.0,5.0
541.0,237.0,372.0,7.0
353.0,27.0,538.0,9.0
323.0,370.0,525.0,3.0
368.0,365.0,53.0,5.0
372.0,561.0,492.0,8.0
623.0,97.0,109.0,6.0
478.0,497.0,545.0,7.0
135.0,306.0,417.0,3.0
73.0,546.0,150.0,14.0
507.0,543.0,324.0,7.0
273.0,234.0,486.0,5.0
424.0,264.0,243.0,8.0
353.0,88.0,206.0,5.0
