User0,User1,User2,User3,SL item đánh giá chung
470.0,456.0,247.0,292.0,2.0
415.0,627.0,609.0,334.0,0.0
633.0,267.0,15.0,62.0,1.0
657.0,304.0,521.0,103.0,1.0
425.0,185.0,379.0,246.0,0.0
361.0,638.0,417.0,373.0,1.0
386.0,450.0,606.0,374.0,0.0
655.0,114.0,192.0,132.0,2.0
15.0,397.0,156.0,496.0,1.0
487.0,422.0,248.0,655.0,1.0
201.0,162.0,124.0,41.0,2.0
132.0,433.0,654.0,633.0,1.0
564.0,293.0,396.0,334.0,1.0
194.0,475.0,213.0,126.0,2.0
359.0,446.0,439.0,300.0,4.0
525.0,304.0,463.0,407.0,1.0
412.0,110.0,522.0,283.0,1.0
536.0,587.0,543.0,26.0,3.0
96.0,463.0,155.0,642.0,0.0
110.0,516.0,181.0,424.0,1.0
180.0,33.0,191.0,23.0,5.0
95.0,353.0,590.0,316.0,0.0
453.0,616.0,251.0,371.0,1.0
289.0,573.0,70.0,9.0,0.0
329.0,471.0,575.0,170.0,0.0
463.0,342.0,32.0,516.0,0.0
280.0,252.0,8.0,454.0,1.0
446.0,503.0,241.0,197.0,1.0
256.0,410.0,200.0,532.0,1.0
537.0,434.0,398.0,416.0,0.0
141.0,142.0,298.0,655.0,3.0
307.0,210.0,166.0,242.0,0.0
554.0,190.0,509.0,443.0,0.0
65.0,84.0,502.0,505.0,3.0
574.0,441.0,343.0,144.0,2.0
595.0,179.0,27.0,654.0,1.0
146.0,240.0,468.0,594.0,3.0
290.0,527.0,537.0,301.0,0.0
235.0,199.0,615.0,586.0,1.0
342.0,570.0,482.0,612.0,3.0
302.0,329.0,173.0,393.0,1.0
359.0,88.0,100.0,199.0,1.0
8.0,316.0,517.0,391.0,1.0
196.0,241.0,135.0,174.0,0.0
545.0,637.0,310.0,387.0,1.0
490.0,336.0,432.0,626.0,1.0
661.0,34.0,415.0,351.0,1.0
442.0,403.0,389.0,463.0,1.0
424.0,371.0,64.0,598.0,2.0
406.0,384.0,362.0,142.0,0.0
379.0,199.0,156.0,195.0,0.0
237.0,610.0,526.0,640.0,2.0
287.0,413.0,267.0,209.0,1.0
175.0,492.0,130.0,211.0,1.0
348.0,192.0,279.0,529.0,2.0
661.0,3.0,560.0,291.0,2.0
261.0,282.0,493.0,19.0,2.0
644.0,587.0,532.0,10.0,1.0
318.0,640.0,199.0,522.0,1.0
361.0,285.0,24.0,584.0,1.0
291.0,299.0,419.0,80.0,1.0
74.0,253.0,362.0,347.0,2.0
141.0,614.0,493.0,154.0,0.0
78.0,351.0,449.0,22.0,2.0
237.0,121.0,286.0,351.0,0.0
526.0,166.0,433.0,394.0,2.0
446.0,497.0,300.0,487.0,2.0
240.0,648.0,36.0,127.0,0.0
43.0,137.0,234.0,11.0,0.0
437.0,27.0,139.0,72.0,0.0
502.0,570.0,122.0,572.0,2.0
201.0,196.0,300.0,117.0,2.0
259.0,513.0,444.0,520.0,1.0
175.0,309.0,294.0,114.0,2.0
382.0,462.0,50.0,274.0,1.0
427.0,613.0,341.0,350.0,1.0
318.0,615.0,619.0,233.0,0.0
55.0,357.0,153.0,279.0,1.0
93.0,459.0,493.0,49.0,2.0
142.0,595.0,398.0,193.0,2.0
475.0,484.0,444.0,264.0,0.0
311.0,39.0,647.0,439.0,0.0
383.0,500.0,606.0,421.0,2.0
623.0,339.0,299.0,629.0,0.0
503.0,21.0,652.0,260.0,1.0
57.0,457.0,635.0,316.0,2.0
348.0,421.0,636.0,469.0,1.0
489.0,464.0,243.0,182.0,1.0
500.0,393.0,469.0,571.0,0.0
633.0,513.0,277.0,506.0,3.0
509.0,150.0,420.0,307.0,1.0
83.0,653.0,655.0,648.0,0.0
193.0,292.0,8.0,237.0,0.0
550.0,248.0,163.0,520.0,1.0
252.0,414.0,450.0,340.0,0.0
390.0,409.0,609.0,462.0,0.0
172.0,548.0,493.0,391.0,0.0
45.0,613.0,296.0,137.0,2.0
639.0,165.0,133.0,89.0,1.0
250.0,602.0,270.0,483.0,0.0
50.0,335.0,305.0,417.0,1.0
81.0,103.0,469.0,124.0,2.0
443.0,641.0,196.0,258.0,1.0
540.0,502.0,627.0,573.0,0.0
431.0,15.0,497.0,335.0,1.0
39.0,489.0,139.0,284.0,1.0
121.0,657.0,555.0,399.0,2.0
148.0,635.0,118.0,598.0,3.0
462.0,655.0,102.0,531.0,4.0
112.0,375.0,161.0,354.0,0.0
516.0,444.0,598.0,649.0,1.0
323.0,108.0,334.0,157.0,0.0
325.0,112.0,26.0,273.0,2.0
660.0,493.0,558.0,94.0,0.0
556.0,488.0,181.0,54.0,2.0
513.0,154.0,19.0,44.0,2.0
209.0,640.0,616.0,652.0,1.0
104.0,351.0,360.0,4.0,1.0
422.0,108.0,195.0,545.0,0.0
541.0,247.0,102.0,401.0,1.0
329.0,466.0,610.0,1.0,1.0
196.0,145.0,535.0,64.0,2.0
85.0,236.0,232.0,296.0,0.0
531.0,61.0,375.0,326.0,2.0
289.0,298.0,531.0,452.0,2.0
518.0,11.0,117.0,180.0,3.0
469.0,462.0,573.0,183.0,1.0
520.0,175.0,404.0,641.0,3.0
595.0,629.0,172.0,169.0,0.0
287.0,330.0,321.0,328.0,1.0
520.0,259.0,468.0,26.0,1.0
65.0,308.0,447.0,425.0,0.0
11.0,615.0,52.0,296.0,1.0
86.0,649.0,334.0,19.0,0.0
510.0,230.0,486.0,400.0,0.0
225.0,25.0,419.0,201.0,1.0
528.0,589.0,656.0,67.0,0.0
333.0,346.0,41.0,249.0,1.0
623.0,413.0,444.0,119.0,3.0
567.0,650.0,152.0,456.0,2.0
68.0,369.0,182.0,197.0,1.0
482.0,497.0,390.0,78.0,1.0
302.0,77.0,492.0,342.0,0.0
371.0,466.0,573.0,55.0,1.0
454.0,631.0,197.0,588.0,1.0
403.0,621.0,112.0,518.0,2.0
200.0,515.0,11.0,644.0,4.0
527.0,315.0,188.0,570.0,2.0
