User0,User1,User2,User3,User4,SL item đánh giá chung
161.0,32.0,74.0,409.0,547.0,1.0
180.0,140.0,26.0,152.0,336.0,0.0
64.0,146.0,159.0,452.0,627.0,0.0
584.0,12.0,114.0,65.0,216.0,0.0
280.0,379.0,419.0,333.0,256.0,0.0
32.0,357.0,558.0,325.0,94.0,0.0
94.0,494.0,152.0,352.0,408.0,0.0
417.0,347.0,596.0,266.0,296.0,1.0
546.0,419.0,295.0,423.0,623.0,0.0
369.0,110.0,108.0,380.0,267.0,0.0
180.0,376.0,497.0,296.0,25.0,0.0
61.0,211.0,102.0,378.0,175.0,0.0
380.0,220.0,545.0,335.0,627.0,0.0
135.0,284.0,495.0,149.0,467.0,0.0
336.0,200.0,7.0,328.0,47.0,0.0
40.0,352.0,322.0,174.0,346.0,0.0
134.0,202.0,85.0,67.0,114.0,0.0
338.0,412.0,130.0,101.0,643.0,0.0
24.0,377.0,229.0,352.0,301.0,0.0
78.0,467.0,646.0,109.0,566.0,0.0
112.0,551.0,415.0,466.0,10.0,0.0
296.0,430.0,499.0,107.0,109.0,0.0
173.0,357.0,106.0,613.0,36.0,2.0
296.0,162.0,93.0,431.0,178.0,0.0
25.0,182.0,590.0,33.0,287.0,0.0
51.0,371.0,553.0,498.0,451.0,0.0
278.0,472.0,428.0,168.0,425.0,0.0
171.0,384.0,603.0,17.0,566.0,0.0
263.0,519.0,51.0,285.0,326.0,0.0
237.0,573.0,531.0,321.0,542.0,0.0
108.0,17.0,176.0,13.0,80.0,0.0
305.0,42.0,342.0,92.0,3.0,0.0
115.0,156.0,474.0,630.0,544.0,0.0
558.0,92.0,152.0,469.0,275.0,0.0
350.0,314.0,641.0,243.0,329.0,0.0
630.0,123.0,42.0,555.0,624.0,1.0
601.0,268.0,304.0,489.0,395.0,0.0
133.0,219.0,176.0,365.0,402.0,0.0
454.0,82.0,369.0,466.0,282.0,0.0
616.0,602.0,527.0,134.0,334.0,0.0
311.0,429.0,546.0,74.0,197.0,0.0
109.0,512.0,54.0,433.0,585.0,0.0
535.0,565.0,222.0,176.0,229.0,0.0
449.0,628.0,594.0,255.0,586.0,0.0
383.0,596.0,230.0,271.0,266.0,0.0
122.0,553.0,564.0,2.0,3.0,0.0
111.0,223.0,134.0,148.0,204.0,0.0
382.0,30.0,579.0,560.0,50.0,0.0
27.0,514.0,260.0,98.0,212.0,0.0
616.0,244.0,333.0,390.0,549.0,0.0
168.0,156.0,553.0,353.0,102.0,0.0
194.0,352.0,399.0,356.0,626.0,0.0
499.0,473.0,241.0,542.0,329.0,0.0
625.0,474.0,118.0,47.0,593.0,0.0
350.0,502.0,573.0,141.0,448.0,1.0
388.0,175.0,232.0,302.0,481.0,0.0
393.0,278.0,488.0,272.0,554.0,0.0
621.0,499.0,608.0,309.0,100.0,0.0
58.0,181.0,48.0,398.0,47.0,0.0
404.0,137.0,402.0,500.0,623.0,0.0
218.0,502.0,205.0,132.0,133.0,0.0
169.0,401.0,43.0,489.0,349.0,0.0
178.0,516.0,284.0,173.0,538.0,0.0
508.0,389.0,373.0,431.0,118.0,0.0
616.0,489.0,254.0,274.0,395.0,0.0
647.0,272.0,14.0,124.0,484.0,0.0
544.0,589.0,254.0,266.0,204.0,0.0
93.0,502.0,125.0,39.0,487.0,0.0
199.0,607.0,304.0,555.0,94.0,0.0
466.0,363.0,45.0,146.0,179.0,0.0
22.0,57.0,394.0,175.0,167.0,0.0
571.0,559.0,611.0,488.0,531.0,0.0
413.0,208.0,519.0,459.0,358.0,0.0
590.0,641.0,223.0,409.0,580.0,0.0
535.0,362.0,309.0,261.0,13.0,0.0
87.0,521.0,60.0,407.0,573.0,0.0
168.0,636.0,611.0,519.0,204.0,0.0
44.0,519.0,579.0,186.0,39.0,0.0
529.0,638.0,290.0,632.0,266.0,0.0
630.0,528.0,454.0,276.0,165.0,0.0
533.0,137.0,24.0,121.0,292.0,0.0
492.0,568.0,415.0,530.0,540.0,0.0
360.0,66.0,534.0,336.0,404.0,0.0
405.0,614.0,423.0,146.0,631.0,0.0
585.0,308.0,226.0,279.0,513.0,0.0
528.0,429.0,58.0,267.0,127.0,0.0
393.0,335.0,629.0,578.0,585.0,0.0
183.0,597.0,486.0,361.0,514.0,0.0
109.0,413.0,515.0,22.0,486.0,0.0
42.0,6.0,562.0,649.0,591.0,0.0
318.0,22.0,440.0,525.0,235.0,0.0
269.0,598.0,253.0,150.0,159.0,0.0
633.0,486.0,579.0,610.0,58.0,0.0
600.0,245.0,72.0,122.0,112.0,0.0
288.0,582.0,301.0,500.0,182.0,0.0
379.0,73.0,186.0,247.0,170.0,0.0
198.0,541.0,4.0,86.0,13.0,0.0
166.0,638.0,109.0,296.0,563.0,0.0
147.0,422.0,647.0,130.0,413.0,0.0
324.0,372.0,2.0,135.0,609.0,0.0
57.0,459.0,277.0,313.0,429.0,0.0
278.0,78.0,609.0,512.0,578.0,0.0
260.0,610.0,80.0,574.0,598.0,0.0
357.0,158.0,544.0,258.0,375.0,0.0
548.0,36.0,327.0,496.0,166.0,0.0
288.0,600.0,416.0,456.0,609.0,0.0
608.0,145.0,351.0,120.0,453.0,0.0
476.0,531.0,295.0,558.0,147.0,0.0
560.0,609.0,480.0,598.0,157.0,0.0
163.0,462.0,57.0,222.0,613.0,0.0
149.0,396.0,629.0,339.0,155.0,0.0
338.0,519.0,122.0,323.0,158.0,0.0
519.0,572.0,442.0,453.0,35.0,0.0
543.0,276.0,373.0,495.0,289.0,1.0
75.0,305.0,201.0,321.0,253.0,0.0
204.0,531.0,431.0,463.0,308.0,0.0
146.0,363.0,162.0,626.0,36.0,0.0
41.0,493.0,515.0,627.0,13.0,0.0
140.0,40.0,131.0,127.0,136.0,0.0
288.0,84.0,644.0,218.0,174.0,0.0
644.0,591.0,36.0,251.0,565.0,0.0
160.0,437.0,563.0,28.0,449.0,0.0
139.0,542.0,447.0,570.0,366.0,0.0
431.0,499.0,156.0,333.0,141.0,0.0
250.0,36.0,12.0,266.0,112.0,0.0
145.0,522.0,630.0,34.0,214.0,0.0
514.0,532.0,232.0,63.0,214.0,0.0
475.0,453.0,81.0,265.0,168.0,0.0
26.0,246.0,272.0,454.0,166.0,1.0
287.0,424.0,234.0,523.0,23.0,0.0
267.0,197.0,168.0,617.0,184.0,0.0
348.0,104.0,193.0,526.0,508.0,0.0
526.0,465.0,264.0,129.0,378.0,0.0
265.0,27.0,275.0,94.0,538.0,0.0
594.0,44.0,268.0,244.0,272.0,0.0
242.0,207.0,71.0,487.0,558.0,0.0
198.0,98.0,486.0,249.0,72.0,0.0
9.0,628.0,55.0,33.0,302.0,0.0
388.0,593.0,457.0,526.0,354.0,0.0
563.0,292.0,84.0,133.0,378.0,0.0
9.0,372.0,150.0,54.0,447.0,0.0
325.0,124.0,371.0,84.0,594.0,0.0
78.0,250.0,308.0,255.0,244.0,0.0
73.0,71.0,633.0,597.0,18.0,0.0
371.0,533.0,21.0,129.0,145.0,0.0
86.0,38.0,323.0,260.0,200.0,0.0
483.0,513.0,603.0,572.0,422.0,0.0
218.0,217.0,578.0,312.0,565.0,0.0
27.0,224.0,554.0,17.0,233.0,0.0
463.0,493.0,234.0,525.0,605.0,0.0
9.0,591.0,53.0,79.0,146.0,0.0
525.0,111.0,21.0,325.0,331.0,0.0
192.0,548.0,439.0,201.0,198.0,0.0
17.0,551.0,545.0,413.0,295.0,0.0
144.0,103.0,282.0,187.0,389.0,0.0
154.0,422.0,73.0,4.0,372.0,0.0
33.0,533.0,568.0,145.0,630.0,0.0
70.0,525.0,499.0,438.0,280.0,0.0
91.0,189.0,68.0,373.0,592.0,0.0
52.0,316.0,303.0,441.0,449.0,0.0
211.0,294.0,161.0,180.0,26.0,0.0
243.0,42.0,172.0,123.0,439.0,0.0
464.0,490.0,93.0,384.0,14.0,0.0
14.0,309.0,405.0,589.0,461.0,0.0
97.0,21.0,435.0,342.0,284.0,0.0
477.0,431.0,185.0,1.0,12.0,0.0
