,User 0,User 1,User 2,User 3,User 4,precisionG,recallG,fscoreG,T,C,Quantity,,,,
0,161,32,74,409,547,0,0,0,0,0,656,,,,
1,180,140,26,152,336,0,0,0,0,0,911,,,,
2,64,146,159,452,627,1,1,1,3,3,1210,,,,
3,584,12,114,65,216,0,0,0,0,0,680,,,,
4,280,379,419,333,256,0,0,0,0,0,754,,,,0.98312578
5,32,357,558,325,94,0,0,0,0,0,555,,,,
6,94,494,152,352,408,1,1,1,2,2,986,,,0.400606359,
7,417,347,596,266,296,1,1,1,2,2,986,,,,
8,546,419,295,423,623,0.666666667,1,0.8,2,3,821,,,,
9,369,110,108,380,267,1,1,1,2,2,504,,,,
10,180,376,497,296,25,1,1,1,2,2,736,,,,
11,61,211,102,378,175,0,0,0,0,0,1111,,,,
12,380,220,545,335,627,0,0,0,0,0,759,,,,
13,135,284,495,149,467,0,0,0,0,0,779,,,,
14,336,200,7,328,47,1,1,1,2,2,642,,,,
15,40,352,322,174,346,0,0,0,0,0,985,,,,
16,134,202,85,67,114,0,0,0,0,0,880,,,,
17,338,412,130,101,643,0,0,0,0,0,652,,,,
18,24,377,229,352,301,1,1,1,2,2,887,,,,
19,78,467,646,109,566,0,0,0,0,0,809,,,,
20,112,551,415,466,10,0,0,0,0,0,576,,,,
21,296,430,499,107,109,1,1,1,4,4,801,,,,
22,173,357,106,613,36,0,0,0,0,0,846,,,,
23,296,162,93,431,178,0,0,0,0,0,733,,,,
24,25,182,590,33,287,0,0,0,0,0,1136,,,,
25,51,371,553,498,451,1,1,1,3,3,810,,,,
26,278,472,428,168,425,0,0,0,0,0,716,,,,
27,171,384,603,17,566,0,0,0,0,0,882,,,,
28,263,519,51,285,326,0.666666667,1,0.8,2,3,790,,,,
29,237,573,531,321,542,0,0,0,0,0,785,,,,
30,108,17,176,13,80,0,0,0,0,0,746,,,,
31,305,42,342,92,3,1,1,1,2,2,868,,,,
32,115,156,474,630,544,0,0,0,0,0,561,,,,
33,558,92,152,469,275,1,1,1,2,2,975,,,,
34,350,314,641,243,329,0,0,0,0,0,825,,,,
35,630,123,42,555,624,1,1,1,3,3,812,,,,
